"url","Analyticsimg","Analyticsimg_alt","Analyticsimg_link","Searchresult","Biznameclick","Biznameclick_link","Reviewcount","Business","Categorylisttext","Categorylistlink","Categorylistlink_link","Tagflame","Secondary 1","Secondary 2","Phonenumber","Startorder","Startorder_link","Photoboximg","Photoboximg_alt","Photoboximg_link","Snippet","Readmore","Readmore_link"
"https://www.yelp.com/search?find_loc=Huntington+Beach,+CA&start=10&cflt=restaurants","https://s3-media2.fl.yelpcdn.com/bphoto/_8ZRymlsU6wgzd_xEiAmNA/90s.jpg","Pie Nation","https://www.yelp.com/biz/pie-nation-huntington-beach","11.","Pie Nation","https://www.yelp.com/biz/pie-nation-huntington-beach","155 reviews","$","Salad, Pizza","Salad; Pizza","https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=salad; https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=pizza","","21210 Beach Blvd","Huntington Beach, CA 92648","(714) 874-1147","","","https://s3-media1.fl.yelpcdn.com/photo/JxxUXwavY8TX4GMNX5jt0w/30s.jpg","Justin C.","https://www.yelp.com/user_details?userid=hVAn9a7HVxHk-2fw8QES9Q","Hey everyone! My girlfriend and I recently visited this establishment and let me tell you, it's worth the try! Like when people ask what my favorite pizza place, it's pienation.    …","read more","https://www.yelp.com/biz/pie-nation-huntington-beach?hrid=ZhwtoOQDz-Vc-FoDdwQiKQ"
"https://www.yelp.com/search?find_loc=Huntington+Beach,+CA&start=10&cflt=restaurants","https://s3-media4.fl.yelpcdn.com/bphoto/4PK-bwmX7DB7UliMIAlSRg/90s.jpg","Mama's On 39","https://www.yelp.com/biz/mamas-on-39-huntington-beach","12.","Mama’s On 39","https://www.yelp.com/biz/mamas-on-39-huntington-beach","942 reviews","$$","American (New), Comfort Food, Breakfast & Brunch","American (New); Comfort Food; Breakfast & Brunch","https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=newamerican; https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=comfortfood; https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=breakfast_brunch","","21022 Beach Blvd","Huntington Beach, CA 92648","(714) 374-1166","","","","","","","",""
"https://www.yelp.com/search?find_loc=Huntington+Beach,+CA&start=10&cflt=restaurants","https://s3-media1.fl.yelpcdn.com/bphoto/CUesZtKaanp_fJ1Z7FcWYQ/90s.jpg","Il Barone Sicilian Street Food","https://www.yelp.com/biz/il-barone-sicilian-street-food-huntington-beach","13.","Il Barone Sicilian Street Food","https://www.yelp.com/biz/il-barone-sicilian-street-food-huntington-beach","7 reviews","$$","Pizza, Italian","Pizza; Italian","https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=pizza; https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=italian","Opened 7 weeks ago","","","","","","https://s3-media2.fl.yelpcdn.com/photo/TUdaNeeFwlAjPkq61RzudQ/30s.jpg","Frank P.","https://www.yelp.com/user_details?userid=Ct3aMfS_Es8RsMnI1Lyy5A","Came here on a wim, this place has great food,  very fresh ingredients you can taste, very healthy too. And the staff were very friendly, felt like a mom and pops shop. Will…","read more","https://www.yelp.com/biz/il-barone-sicilian-street-food-huntington-beach?hrid=1mMEtwdTz4cE6zFkHQbC7g"
"https://www.yelp.com/search?find_loc=Huntington+Beach,+CA&start=10&cflt=restaurants","https://s3-media4.fl.yelpcdn.com/bphoto/pb_Zc_WhvZ4vUsMfxJS3uA/90s.jpg","Bluegold","https://www.yelp.com/biz/bluegold-huntington-beach-2","14.","Bluegold","https://www.yelp.com/biz/bluegold-huntington-beach-2","219 reviews","$$$","Breakfast & Brunch, Bars, American (Traditional)","Breakfast & Brunch; Bars; American (Traditional)","https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=breakfast_brunch; https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=bars; https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=tradamerican","","21016 Pacific Coast Hwy","Huntington Beach, CA 92648","(714) 374-0038","","","https://s3-media2.fl.yelpcdn.com/photo/GDWZ3uhXs2pxJo46upbMZQ/30s.jpg","Katie S.","https://www.yelp.com/user_details?userid=gECI8G3yBOaiwHHewlRsgQ","Where to begin.. I came here for brunch and everything was just perfect. The ambiance and the views are amazing. It is overlooking the Huntington pier.  We started with the milk…","read more","https://www.yelp.com/biz/bluegold-huntington-beach-2?hrid=u5exZ8ExzoS7msRb-pm-nQ"
"https://www.yelp.com/search?find_loc=Huntington+Beach,+CA&start=10&cflt=restaurants","https://s3-media4.fl.yelpcdn.com/bphoto/oucWpl-1zvwDKalQyjbA8Q/90s.jpg","TASTE, Brazilian Style Gourmet","https://www.yelp.com/biz/taste-brazilian-style-gourmet-huntington-beach-3","15.","TASTE, Brazilian Style Gourmet","https://www.yelp.com/biz/taste-brazilian-style-gourmet-huntington-beach-3","75 reviews","$","Juice Bars & Smoothies, Brazilian, Acai Bowls","Juice Bars & Smoothies; Brazilian; Acai Bowls","https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=juicebars; https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=brazilian; https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=acaibowls","","19933 Beach Blvd","Huntington Beach, CA 92648","(714) 460-8606","","","","","","","",""
"https://www.yelp.com/search?find_loc=Huntington+Beach,+CA&start=10&cflt=restaurants","https://s3-media4.fl.yelpcdn.com/bphoto/8Z5IWFXrF_K8hNWffzPMeg/90s.jpg","Kitchen Republic","https://www.yelp.com/biz/kitchen-republic-huntington-beach","16.","Kitchen Republic","https://www.yelp.com/biz/kitchen-republic-huntington-beach","165 reviews","$$","Tapas/Small Plates","Tapas/Small Plates","https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=tapasmallplates","","7821 Edinger Ave","Huntington Beach, CA 92647","(714) 891-8890","","","https://s3-media4.fl.yelpcdn.com/photo/sT6XIf04S3MeEdotzcTN9Q/30s.jpg","JoAnn H.","https://www.yelp.com/user_details?userid=5JaYMCTXRuJbzsSshuoYIg","Went here with my family and loved it!  Perfect for getting drinks with the adults and getting lemonade with the kiddos.  We ordered a lot of tapas to share and try.  The tapas we're…","read more","https://www.yelp.com/biz/kitchen-republic-huntington-beach?hrid=bfYY-RQBznEavnU46fNXHA"
"https://www.yelp.com/search?find_loc=Huntington+Beach,+CA&start=10&cflt=restaurants","https://s3-media3.fl.yelpcdn.com/bphoto/zGqTp-7bOAmQ6nAPllU6Ug/90s.jpg","SeaSalt Woodfire Grill","https://www.yelp.com/biz/seasalt-woodfire-grill-huntington-beach-2","17.","SeaSalt Woodfire Grill","https://www.yelp.com/biz/seasalt-woodfire-grill-huntington-beach-2","238 reviews","$$","Breakfast & Brunch, Steakhouses, American (Traditional)","Breakfast & Brunch; Steakhouses; American (Traditional)","https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=breakfast_brunch; https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=steak; https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=tradamerican","","21214 Beach Blvd","Huntington Beach, CA 92648","(714) 804-5545","","","","","","","",""
"https://www.yelp.com/search?find_loc=Huntington+Beach,+CA&start=10&cflt=restaurants","https://s3-media2.fl.yelpcdn.com/bphoto/PdJ8zA2oBFlC4DXXw_4S8g/90s.jpg","Luna Grill Newland Center","https://www.yelp.com/biz/luna-grill-newland-center-huntington-beach-4","18.","Luna Grill Newland Center","https://www.yelp.com/biz/luna-grill-newland-center-huntington-beach-4","36 reviews","$$","Mediterranean, Salad, Wraps","Mediterranean; Salad; Wraps","https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=mediterranean; https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=salad; https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=wraps","Opened 2 months ago","19720 Beach Blvd","Huntington Beach, CA 92648","(714) 377-2000","","","https://s3-media1.fl.yelpcdn.com/photo/zp5yTVdQW6q2jhJidZuo_A/30s.jpg","Michael A.","https://www.yelp.com/user_details?userid=mZJ_Ydnd-YaC7bTn4GyZqA","I'm trying this place for the very first time. The food is fresh and delicious!  I had the chicken kebab plate. The chicken was perfectly cooked and seasoned.  It had basmati rice,…","read more","https://www.yelp.com/biz/luna-grill-newland-center-huntington-beach-4?hrid=L2QLy5jd4xRRivkThoWmLA"
"https://www.yelp.com/search?find_loc=Huntington+Beach,+CA&start=10&cflt=restaurants","https://s3-media3.fl.yelpcdn.com/bphoto/DzMAHwLVVMX4aZMggj5g-Q/90s.jpg","Ola Mexican Kitchen","https://www.yelp.com/biz/ola-mexican-kitchen-huntington-beach","19.","Ola Mexican Kitchen","https://www.yelp.com/biz/ola-mexican-kitchen-huntington-beach","718 reviews","$$","Mexican","Mexican","https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=mexican","","21040 Pacific Coast Hwy","Huntington Beach, CA 92648","(714) 969-7300","","","","","","","",""
"https://www.yelp.com/search?find_loc=Huntington+Beach,+CA&start=10&cflt=restaurants","https://s3-media2.fl.yelpcdn.com/bphoto/yGBz-Pe0ABJ4kcsWXWgk0A/90s.jpg","Bear Flag Fish Company","https://www.yelp.com/biz/bear-flag-fish-company-huntington-beach-2","20.","Bear Flag Fish Company","https://www.yelp.com/biz/bear-flag-fish-company-huntington-beach-2","170 reviews","$$","Seafood, Seafood Markets, Sushi Bars","Seafood; Seafood Markets; Sushi Bars","https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=seafood; https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=seafoodmarkets; https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=sushi","","21058 Pacific Coast Hwy","Huntington Beach, CA 92648","(714) 374-0558","","","https://s3-media3.fl.yelpcdn.com/photo/B_hlKOgVGQJ5ap2b_m2J_A/30s.jpg","Brock L.","https://www.yelp.com/user_details?userid=wtc9mqsaVtSoGtcr95icOg","Whenever I visit this amazing restaurant, I never fail to be satisfied! The Crystal Cove location was where I always went, but it was in the middle of nowhere and far away. I am very…","read more","https://www.yelp.com/biz/bear-flag-fish-company-huntington-beach-2?hrid=KZcV21nCHd9V6MDVwffupg"
"https://www.yelp.com/search?find_loc=Huntington+Beach,+CA&start=20&cflt=restaurants","https://s3-media4.fl.yelpcdn.com/bphoto/c4UEiaxOVES56xlcBA6xOA/90s.jpg","Surf City Fish Grill","https://www.yelp.com/biz/surf-city-fish-grill-huntington-beach","21.","Surf City Fish Grill","https://www.yelp.com/biz/surf-city-fish-grill-huntington-beach","116 reviews","$$","Seafood, Gluten-Free, Fish & Chips","Seafood; Gluten-Free; Fish & Chips","https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=seafood; https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=gluten_free; https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=fishnchips","","17965 Beach Blvd","Huntington Beach, CA 92647","(714) 375-4861","","","","","","","",""
"https://www.yelp.com/search?find_loc=Huntington+Beach,+CA&start=20&cflt=restaurants","https://s3-media1.fl.yelpcdn.com/bphoto/gXDFAPe2xI1fPIruyr0elw/90s.jpg","Tabu Shabu - Huntington Beach","https://www.yelp.com/biz/tabu-shabu-huntington-beach-huntington-beach","22.","Tabu Shabu - Huntington Beach","https://www.yelp.com/biz/tabu-shabu-huntington-beach-huntington-beach","71 reviews","$$","Hot Pot, Izakaya, Soup","Hot Pot; Izakaya; Soup","https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=hotpot; https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=izakaya; https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=soup","","16821 Algonquin St","Huntington Beach, CA 92649","(714) 951-9204","","","https://s3-media4.fl.yelpcdn.com/photo/He2x5wFVKB8Iu_Z38cublQ/30s.jpg","Chel O.","https://www.yelp.com/user_details?userid=N6jwmTlJhMRQsTjEunqDkw","I must share context before I continue with the actual review.  All my reviews are based on whatever calls to me: quality of food, atmosphere, simplicity, and most importantly…","read more","https://www.yelp.com/biz/tabu-shabu-huntington-beach-huntington-beach?hrid=kWM5dX70HPGf_itCP8Jn7g"
"https://www.yelp.com/search?find_loc=Huntington+Beach,+CA&start=20&cflt=restaurants","https://s3-media2.fl.yelpcdn.com/bphoto/lDBvcA6wQqP7cBG0kwrsmw/90s.jpg","The Pizza Press","https://www.yelp.com/biz/the-pizza-press-huntington-beach-2","23.","The Pizza Press","https://www.yelp.com/biz/the-pizza-press-huntington-beach-2","19 reviews","$","Pizza, Salad","Pizza; Salad","https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=pizza; https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=salad","Opened a few days ago","150 5th St","Huntington Beach, CA 92648","(714) 374-1367","","","https://s3-media1.fl.yelpcdn.com/photo/0Ygt2x6HfWEUHarLaT1SHg/30s.jpg","Pete S.","https://www.yelp.com/user_details?userid=GaTWkVy-pY6phZOqW6ykuw","Love Pizza Press. Parking here at the Strand...well, don't love it that much.  Love the ingredients here....the thin cookie crunchy crust, not so much.  Love the beers choices here,…","read more","https://www.yelp.com/biz/the-pizza-press-huntington-beach-2?hrid=m9WnVi839nZF9HfsQ3cdmw"
"https://www.yelp.com/search?find_loc=Huntington+Beach,+CA&start=20&cflt=restaurants","https://s3-media3.fl.yelpcdn.com/bphoto/4NgMXl-1G0pWDjcNFds_xQ/90s.jpg","Ritter's Steam Kettle Cooking","https://www.yelp.com/biz/ritters-steam-kettle-cooking-huntington-beach","24.","Ritter’s Steam Kettle Cooking","https://www.yelp.com/biz/ritters-steam-kettle-cooking-huntington-beach","623 reviews","$$","Cajun/Creole, Seafood","Cajun/Creole; Seafood","https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=cajun; https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=seafood","","180 5th St","Huntington Beach, CA 92648","(714) 536-7733","","","","","","","",""
"https://www.yelp.com/search?find_loc=Huntington+Beach,+CA&start=20&cflt=restaurants","https://s3-media2.fl.yelpcdn.com/bphoto/j7J_C5Iz_lcdQhgnn_X2TQ/90s.jpg","BLK Earth Sea Spirits","https://www.yelp.com/biz/blk-earth-sea-spirits-huntington-beach","25.","BLK Earth Sea Spirits","https://www.yelp.com/biz/blk-earth-sea-spirits-huntington-beach","381 reviews","$$$","Seafood, Steakhouses, American (New)","Seafood; Steakhouses; American (New)","https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=seafood; https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=steak; https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=newamerican","","300 Pacific Coast Hwy","Huntington Beach, CA 92648","(714) 960-0996","","","","","","","",""
"https://www.yelp.com/search?find_loc=Huntington+Beach,+CA&start=20&cflt=restaurants","https://s3-media4.fl.yelpcdn.com/bphoto/OvGSlvfOid_1e-efftZpXg/90s.jpg","AYCE Sushi HB","https://www.yelp.com/biz/ayce-sushi-hb-huntington-beach-3","26.","AYCE Sushi HB","https://www.yelp.com/biz/ayce-sushi-hb-huntington-beach-3","317 reviews","$$","Japanese, Sushi Bars","Japanese; Sushi Bars","https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=japanese; https://www.yelp.com/search?find_loc=Huntington+Beach%2C+CA&cflt=sushi","","5864 Edinger Ave","Huntington Beach, CA 92649","(714) 916-0359","","","https://s3-media2.fl.yelpcdn.com/photo/TU8cbpcRe5dh7HUBFK89eQ/30s.jpg","Yamishizen M.","https://www.yelp.com/user_details?userid=iq7s7ujZoUn1JVHMQu0tbg","Amazing AYCE!  The service is insanely fast- within 5 minutes my order starting pouring through bit by bit.   The tempura components was not only crisp in all of my rolls, but also…","read more","https://www.yelp.com/biz/ayce-sushi-hb-huntington-beach-3?hrid=jSWDfDJQnp75DEBf2i72Jw"
