"url","Analyticsimg","Analyticsimg_alt","Analyticsimg_link","Indexedbiz","Biznameclick","Biznameclick_link","Reviewcount","Business","Categorylisttext","Categorylistlink","Categorylistlink_link","Secondary","Phonenumber","Photoboximg","Photoboximg_alt","Photoboximg_link","Snippet","Readmore","Readmore_link"
"https://www.yelp.com/search?find_loc=Irvine,+CA&start=10","https://s3-media2.fl.yelpcdn.com/bphoto/S7FCA2wKpcrIkrwGBMQjqQ/90s.jpg","MOD Pizza","https://www.yelp.com/biz/mod-pizza-irvine-2","11.","MOD Pizza","https://www.yelp.com/biz/mod-pizza-irvine-2","601 reviews","$","Pizza","Pizza","https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=pizza","3965 Alton Pkwy
Irvine, CA 92604","(949) 265-7770","https://s3-media4.fl.yelpcdn.com/photo/Cfk_Q5RuaLwHHT0JXPIZSQ/30s.jpg","Ghaith A.","https://www.yelp.com/user_details?userid=EImAtkhQhiJdBsv3mprQyQ","Super nice people withe happy smile :)   I recommend veg pizza, it  so delicious  five  stars  for MOD superfast  pizza. Also recommend  it for family's","read more","https://www.yelp.com/biz/mod-pizza-irvine-2?hrid=TwLuwNmPAKMdmKcofmrRzw"
"https://www.yelp.com/search?find_loc=Irvine,+CA&start=10","https://s3-media3.fl.yelpcdn.com/bphoto/eo6hJz_anb6jHdDbR_5U4g/90s.jpg","Burntzilla","https://www.yelp.com/biz/burntzilla-irvine","12.","Burntzilla","https://www.yelp.com/biz/burntzilla-irvine","913 reviews","$","Hot Dogs, Burgers, American (Traditional)","Hot Dogs; Burgers; American (Traditional)","https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=hotdog; https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=burgers; https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=tradamerican","14413 Culver Dr
Irvine, CA 92606","(949) 392-5995","https://s3-media3.fl.yelpcdn.com/photo/h6eQfuZzwmEin5xZG4CBkg/30s.jpg","Leianna M.","https://www.yelp.com/user_details?userid=kokYRFDq_TCOcq03BEXVBA","Tots with Chicken and gravy... YUM!! I pick up an order of these on Friday night and it goes straight into the fridge. SATURDAY and Sunday, my husband and I reheat the tots in our…","read more","https://www.yelp.com/biz/burntzilla-irvine?hrid=ed9BfiOnyLNtHONQph6nnA"
"https://www.yelp.com/search?find_loc=Irvine,+CA&start=10","https://s3-media1.fl.yelpcdn.com/bphoto/FhjEWtQsgKRsSGiyUzALnw/90s.jpg","CAVA","https://www.yelp.com/biz/cava-irvine","13.","CAVA","https://www.yelp.com/biz/cava-irvine","209 reviews","$$","Mediterranean","Mediterranean","https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=mediterranean","3972 Barranca Pkwy
Irvine, CA 92606","(949) 200-7998","","","","","",""
"https://www.yelp.com/search?find_loc=Irvine,+CA&start=10","https://s3-media4.fl.yelpcdn.com/bphoto/J1Ll9GSiFrYnqeArEeEnRA/90s.jpg","7 Leaves Cafe","https://www.yelp.com/biz/7-leaves-cafe-irvine","14.","7 Leaves Cafe","https://www.yelp.com/biz/7-leaves-cafe-irvine","332 reviews","$","Coffee & Tea, Cafes","Coffee & Tea; Cafes","https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=coffee; https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=cafes","14845 Jeffrey Rd
Irvine, CA 92618","(949) 536-5380","https://s3-media3.fl.yelpcdn.com/photo/aJlKW2DUfER6HSLuefBDkQ/30s.jpg","Jae L.","https://www.yelp.com/user_details?userid=WZyFSTXuGUMR2fWejJQwiw","I bugged the crap out of them, and I felt really bad for doing so but they were willing to compensate for my picky taste as the taro did not taste the same as last time.  Thank you…","read more","https://www.yelp.com/biz/7-leaves-cafe-irvine?hrid=f3xHlXZV39GIKeqmy-HrOg"
"https://www.yelp.com/search?find_loc=Irvine,+CA&start=10","https://s3-media4.fl.yelpcdn.com/bphoto/8bwVT_vK2De7FRHUi2uyYg/90s.jpg","Gyritto Truck","https://www.yelp.com/biz/gyritto-truck-irvine-2","15.","Gyritto Truck","https://www.yelp.com/biz/gyritto-truck-irvine-2","78 reviews","$","Food Trucks, Mediterranean, Halal","Food Trucks; Mediterranean; Halal","https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=foodtrucks; https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=mediterranean; https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=halal","Irvine, CA 92606","(949) 878-6611","https://s3-media1.fl.yelpcdn.com/photo/MnxeMFZDVQz-A_c3aVplmA/30s.jpg","Jt R.","https://www.yelp.com/user_details?userid=UGuX8jamgB_jPZUlElkVbw","Super nice people.  Made my experience very enjoyable.  I ordered the beef pita and they customized it to my liking.  It was delicious to say the least!","read more","https://www.yelp.com/biz/gyritto-truck-irvine-2?hrid=j-xkPPF_E19DbYlj81d86w"
"https://www.yelp.com/search?find_loc=Irvine,+CA&start=10","https://s3-media4.fl.yelpcdn.com/bphoto/yCQshOW1EpPtdGUaChGhQg/90s.jpg","Crazy Rock'N Sushi","https://www.yelp.com/biz/crazy-rockn-sushi-irvine","16.","Crazy Rock’N Sushi","https://www.yelp.com/biz/crazy-rockn-sushi-irvine","234 reviews","$$","Sushi Bars, Japanese","Sushi Bars; Japanese","https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=sushi; https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=japanese","5365 Alton Pkwy
Irvine, CA 92604","(949) 551-3599","https://s3-media3.fl.yelpcdn.com/photo/CK43AztD5HWaXlzH-EtXJA/30s.jpg","Crystal L.","https://www.yelp.com/user_details?userid=uJzFxTYzs6fQViOuxjkBLA","Literally, the best Sushi in Irvine. It's affordable and great quality. A bonus is that the service is awesome and they are always accommodating. I would say though that they had…","read more","https://www.yelp.com/biz/crazy-rockn-sushi-irvine?hrid=XTrSNJgKAG7ngW9pFdhqOQ"
"https://www.yelp.com/search?find_loc=Irvine,+CA&start=10","https://s3-media1.fl.yelpcdn.com/bphoto/93dup0ir9w7Uk6XXrabUdQ/90s.jpg","Urban Plates","https://www.yelp.com/biz/urban-plates-irvine","17.","Urban Plates","https://www.yelp.com/biz/urban-plates-irvine","1340 reviews","$$","American (New), Salad, Sandwiches","American (New); Salad; Sandwiches","https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=newamerican; https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=salad; https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=sandwiches","3972 Barranca Pkwy
Irvine, CA 92606","(949) 387-2600","https://s3-media4.fl.yelpcdn.com/photo/fd8UVH_LKCd1UPdrTa5RDg/30s.jpg","Alyssa M.","https://www.yelp.com/user_details?userid=quGdnvnkEWp1ndjZNEULzg","I LOVE this place. After visiting Urban Plates for a second time, I've decided that I love it. Yes, we moved quickly but when you know, you know right?  Urban Plates is a rustic…","read more","https://www.yelp.com/biz/urban-plates-irvine?hrid=l9ZJiPKwDRgCclYOMDQ7ng"
"https://www.yelp.com/search?find_loc=Irvine,+CA&start=10","https://s3-media1.fl.yelpcdn.com/bphoto/D2HT2Os7kgMUKS9iF4lPdQ/90s.jpg","The Cut","https://www.yelp.com/biz/the-cut-irvine","18.","The Cut","https://www.yelp.com/biz/the-cut-irvine","136 reviews","$$","Food Trucks, Burgers, American (Traditional)","Food Trucks; Burgers; American (Traditional)","https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=foodtrucks; https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=burgers; https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=tradamerican","Irvine, CA 92606","(949) 877-4707","https://s3-media4.fl.yelpcdn.com/photo/h8E-YrA3YyvCQyIzTqwWrg/30s.jpg","Mike M.","https://www.yelp.com/user_details?userid=U4nFNsKnKB6pa8YP4m2jxQ","Just tried the cut. It's one of the best burgers I've ever had. The fries were awesome too. Fresh. Crispy. Hot. Just a great meal. I've long been a proponent of potato buns for…","read more","https://www.yelp.com/biz/the-cut-irvine?hrid=EtyhhOAxGNMl6q7eR7ZHCw"
"https://www.yelp.com/search?find_loc=Irvine,+CA&start=10","https://s3-media3.fl.yelpcdn.com/bphoto/TWL29M9UmLCIE1BZrXni8A/90s.jpg","North Italia","https://www.yelp.com/biz/north-italia-irvine","19.","North Italia","https://www.yelp.com/biz/north-italia-irvine","1067 reviews","$$","Pizza, Italian","Pizza; Italian","https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=pizza; https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=italian","2957 Michelson Dr
Irvine, CA 92612","(949) 629-7060","https://s3-media2.fl.yelpcdn.com/photo/Ty5RTEfEnHu8o2Popqa30w/30s.jpg","Kyle V.","https://www.yelp.com/user_details?userid=hs8DpwHhp204x4tmuZR5ww","Great atmosphere, great decor, great people, and great food. This place has a perfect setup to enjoy your meal and friends. Sitting at the bar for lunch was great since they open the…","read more","https://www.yelp.com/biz/north-italia-irvine?hrid=7px4xqGXEFnbq1SI4egzGA"
"https://www.yelp.com/search?find_loc=Irvine,+CA&start=10","https://s3-media3.fl.yelpcdn.com/bphoto/kjyo8GGcqJmxK9NgMcjXXQ/90s.jpg","Mr Sandwich","https://www.yelp.com/biz/mr-sandwich-irvine","20.","Mr Sandwich","https://www.yelp.com/biz/mr-sandwich-irvine","139 reviews","$","Sandwiches","Sandwiches","https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=sandwiches","92 Corporate Park
Irvine, CA 92606","(949) 553-1612","https://s3-media3.fl.yelpcdn.com/photo/nxdu_VlGPlwaGiOWUIN3CQ/30s.jpg","Lauren L.","https://www.yelp.com/user_details?userid=pa0Pnx5DCYFiq0b7-yWh-A","First impressions are important and the staff at Mr. Sandwich was positively impressive. Within 15 minutes, and during the busy lunch rush, they successfully completed the big order…","read more","https://www.yelp.com/biz/mr-sandwich-irvine?hrid=mgB9T0-uJUr2BHGi-K6ZcA"
"https://www.yelp.com/search?find_loc=Irvine,+CA&start=20","https://s3-media1.fl.yelpcdn.com/bphoto/iFZUjJDri25FZ8zbeZDM5g/90s.jpg","Philly's Best","https://www.yelp.com/biz/phillys-best-irvine","21.","Philly’s Best","https://www.yelp.com/biz/phillys-best-irvine","322 reviews","$","Sandwiches, Cheesesteaks","Sandwiches; Cheesesteaks","https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=sandwiches; https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=cheesesteaks","4250 Barranca Pkwy
Irvine, CA 92604","(949) 857-2448","https://s3-media1.fl.yelpcdn.com/photo/lybw1WG2Dip3R7UtZOBV5w/30s.jpg","Truong T.","https://www.yelp.com/user_details?userid=lfX4Ay6lYeWQ2kSdAxJaDg","It was lunch time and I really didn't know what to eat so last minute I decided to come through here to grab lunch.  I was kinda craving a philly cheese steak and this spot did the…","read more","https://www.yelp.com/biz/phillys-best-irvine?hrid=wYvcwNsQn_NEMqmT-iaiXg"
"https://www.yelp.com/search?find_loc=Irvine,+CA&start=20","https://s3-media3.fl.yelpcdn.com/bphoto/vvtECuGg_Pg328E3SloczA/90s.jpg","Le Diplomate Cafe","https://www.yelp.com/biz/le-diplomate-cafe-irvine","22.","Le Diplomate Cafe","https://www.yelp.com/biz/le-diplomate-cafe-irvine","1597 reviews","$","Bakeries, Sandwiches, Cafes","Bakeries; Sandwiches; Cafes","https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=bakeries; https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=sandwiches; https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=cafes","","(949) 854-5161","https://s3-media2.fl.yelpcdn.com/photo/5uS8bMI3EztKYK7po_R56g/30s.jpg","Kiet L.","https://www.yelp.com/user_details?userid=3jceczWOZIWBbJxeu1kibA","The Chix - brox - mush sando is the bomb!!!   Pair it with some cooler ranch Doritos and an extra side of their garlic mayo.   - SAUCE BAUCE","read more","https://www.yelp.com/biz/le-diplomate-cafe-irvine?hrid=XWDL-0pFpa9YOBzAWcZjSw"
"https://www.yelp.com/search?find_loc=Irvine,+CA&start=20","https://s3-media1.fl.yelpcdn.com/bphoto/k9nw_L8kQLBn4bkYDKRNPw/90s.jpg","Ha Long Vietnamese Cuisine","https://www.yelp.com/biz/ha-long-vietnamese-cuisine-irvine","23.","Ha Long Vietnamese Cuisine","https://www.yelp.com/biz/ha-long-vietnamese-cuisine-irvine","558 reviews","$","Vietnamese, Sandwiches, Noodles","Vietnamese; Sandwiches; Noodles","https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=vietnamese; https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=sandwiches; https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=noodles","3850 D Barranca Pkwy
Irvine, CA 92606","(949) 654-3736","https://s3-media4.fl.yelpcdn.com/photo/hhb2StitGDuLkd9Y20hMTA/30s.jpg","Randy L.","https://www.yelp.com/user_details?userid=zs4H2Tzr2-Datfb0XvEVqg","This is a great restaurant if you want Vietnamese food.  Living near UCI, I would recommend this place rather than going to Westminster or Garden Grove if you don't want to drive the…","read more","https://www.yelp.com/biz/ha-long-vietnamese-cuisine-irvine?hrid=cdLuYLxHq4A-qnwAlUDstQ"
"https://www.yelp.com/search?find_loc=Irvine,+CA&start=20","https://s3-media1.fl.yelpcdn.com/bphoto/6CtUe0XQOgw7F9xCE6I1Jw/90s.jpg","Mokkoji Shabu Shabu Bar","https://www.yelp.com/biz/mokkoji-shabu-shabu-bar-irvine","24.","Mokkoji Shabu Shabu Bar","https://www.yelp.com/biz/mokkoji-shabu-shabu-bar-irvine","927 reviews","$$","Japanese, Hot Pot","Japanese; Hot Pot","https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=japanese; https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=hotpot","14041 Jeffrey Rd
Irvine, CA 92620","(949) 451-0011","https://s3-media4.fl.yelpcdn.com/photo/VlFTCRsAg72YPrhXmLDJKg/30s.jpg","Tina E.","https://www.yelp.com/user_details?userid=CBJPv7xIfTzoO9Y1k-U7ag","Service was excellent and the food was very yummy. This was the first time we did this shabu shabu. We got there at 11:15 am and there was already a line.  As newbies, The staff was…","read more","https://www.yelp.com/biz/mokkoji-shabu-shabu-bar-irvine?hrid=iixfaY9do3kBuxnCzxAAmw"
"https://www.yelp.com/search?find_loc=Irvine,+CA&start=20","https://s3-media3.fl.yelpcdn.com/bphoto/VTOEoU9TV7ANcQyglaNbiA/90s.jpg","Kogi- Naranja","https://www.yelp.com/biz/kogi-naranja-irvine","25.","Kogi- Naranja","https://www.yelp.com/biz/kogi-naranja-irvine","731 reviews","$","Korean, Food Trucks, Asian Fusion","Korean; Food Trucks; Asian Fusion","https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=korean; https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=foodtrucks; https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=asianfusion","Irvine, CA 92604","","https://s3-media1.fl.yelpcdn.com/photo/NWHGvtZA06mrdqY2tttOVw/30s.jpg","John L.","https://www.yelp.com/user_details?userid=TAier4gybTimv9mMM0XxnQ","Always a 5 star experience! But I'm going to need to take a Kogi Break lol  Till we meet again Kogi....  Didn't taste as good this time idk why, I even bought two spicy pork wet…","read more","https://www.yelp.com/biz/kogi-naranja-irvine?hrid=CMW9KSzK_owQdPtk6Wy_Sg"
"https://www.yelp.com/search?find_loc=Irvine,+CA&start=20","https://s3-media4.fl.yelpcdn.com/bphoto/V7EwdmpIhcSTb46dRYHPNQ/90s.jpg","Bruxie","https://www.yelp.com/biz/bruxie-irvine","26.","Bruxie","https://www.yelp.com/biz/bruxie-irvine","1117 reviews","$","Sandwiches, Breakfast & Brunch, Waffles","Sandwiches; Breakfast & Brunch; Waffles","https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=sandwiches; https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=breakfast_brunch; https://www.yelp.com/search?find_loc=Irvine%2C+CA&cflt=waffles","14376 Culver Dr
Irvine, CA 92604","(949) 556-4894","https://s3-media3.fl.yelpcdn.com/photo/0ulLfno_wKpwx0JZ5AhixQ/30s.jpg","Annie F.","https://www.yelp.com/user_details?userid=F4qq6JpM5jbqmQVHdE1INg","I didn't know Bruxie had breakfast until I walked in and saw their delicious menu. I ordered the bacon and eggs waffle along with the spicy chicken and waffles sandwich for lunch…","read more","https://www.yelp.com/biz/bruxie-irvine?hrid=aixjUv0hPF1Urrvqq9qdLQ"
